"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Soft tyres","",""
"1","1:41.820","+ 0:03.844","162.71","8","-","-"
"2","1:37.387","+ 0:03.844","170.12","8","-","-"
"3","1:36.529","+ 0:02.780","171.63","8","-","-"
"4","1:36.425","+ 0:03.480","171.81","8","-","-"
"5","1:37.122","+ 0:03.837","170.58","7","-","-"
"6","1:35.181","+ 0:01.098","174.06","5","-","-"
"7","1:36.433","+ 0:00.773","171.80","2","-","-"
"8","1:36.229","-","172.16","1","-","-"
"9","1:38.475","+ 0:00.844","168.24","4","-","-"
"10","1:48.681","+ 0:11.977","152.44","11","-","-"
"PIT 11.68","2.1 seconds / Soft tyres","",""
"11","1:35.052","+ 0:03.871","174.30","6","-","-"
"12","1:33.578","+ 0:00.342","177.04","2","-","-"
"13","1:34.660","-","175.02","1","-","-"
"14","1:34.132","-","176.00","1","-","-"
"15","1:33.570","-","177.06","1","-","-"
"16","1:34.548","+ 0:00.445","175.23","2","-","-"
"17","1:34.068","+ 0:00.288","176.12","2","-","-"
"18","1:34.344","+ 0:00.208","175.60","2","-","-"
"19","1:34.484","-","175.34","1","-","-"
"20","1:35.586","+ 0:01.261","173.32","2","-","-"
"21","1:46.817","+ 0:11.506","155.10","5","-","-"
"PIT 11.874","2 seconds / Soft tyres","",""
"22","1:32.756","+ 0:01.753","178.61","3","-","-"
"23","1:32.113","-","179.86","1","-","-"
"24","1:32.662","+ 0:00.674","178.79","2","-","-"
"25","1:31.316","-","181.43","1","-","-"
"26","1:31.202","-","181.65","1","-","-"
"27","1:31.821","+ 0:00.374","180.43","2","-","-"
"28","1:31.338","+ 0:00.158","181.38","2","-","-"
"29","1:31.664","+ 0:00.012","180.74","2","-","-"
"30","1:33.145","+ 0:01.033","177.86","2","-","-"
"31","1:44.018","+ 0:11.408","159.27","5","-","-"
"PIT 12.267","2.3 seconds / Soft tyres","",""
"32","1:31.315","+ 0:06.947","181.43","4","-","-"
"33","1:29.921","-","184.24","1","-","-"
"34","1:30.413","+ 0:00.544","183.24","2","-","-"
"35","1:29.291","+ 0:00.065","185.54","2","-","-"
"36","1:30.012","+ 0:01.003","184.06","2","-","-"
"37","1:29.002","+ 0:00.344","186.14","2","-","-"
"38","1:29.335","-","185.45","1","-","-"
"39","1:29.802","-","184.49","1","-","-"
"40","1:30.612","+ 0:01.159","182.84","2","-","-"
"41","1:42.140","+ 0:11.409","162.20","5","-","-"
"PIT 11.983","2.2 seconds / Super soft tyres","",""
"42","1:27.889","+ 0:02.458","188.50","4","-","-"
"43","1:27.434","+ 0:00.655","189.48","2","-","-"
"44","1:27.970","+ 0:00.321","188.33","2","-","-"
"45","1:27.326","-","189.72","1","-","-"
"46","1:28.873","+ 0:01.326","186.41","2","-","-"
"47","1:28.184","+ 0:01.016","187.87","2","-","-"
"48","1:41.819","+ 0:12.747","162.71","2","-","-"
"PIT 13.517","2.4 seconds / Medium tyres","",""
"49","1:27.560","-","189.21","1","-","-"
"50","1:27.678","+ 0:00.033","188.96","2","-","-"
"51","1:26.981","-","190.47","1","-","-"
"52","1:27.091","+ 0:00.175","190.23","2","-","-"
"53","1:26.240","-","192.11","1","-","-"
"54","1:26.433","-","191.68","1","-","-"
"55","1:26.541","-","191.44","1","-","-"
"56","1:27.011","+ 0:00.113","190.40","2","-","-"
"57","1:26.261","-","192.06","1","-","-"
"58","1:27.190","+ 0:00.557","190.01","2","-","-"
"59","1:26.881","+ 0:00.330","190.69","2","-","-"
"60","1:23.790","-","197.72","1","-","-"